Model_Name, model_url, Batch_Size, Low_Mem, Cache_Type, Streaming, Is_Batch, Token_Healing, Max_New_Tokens, Time_Total, Tokens_per_second, VRAM_GB_used
Starling-LM-7B-alpha-exl2-4bit,https://huggingface.co/bartowski/Starling-LM-7B-alpha-exl2,4, True, 16-bit, False, True, True,400,9.78,164,4.91
Starling-LM-7B-alpha-exl2-4bit,https://huggingface.co/bartowski/Starling-LM-7B-alpha-exl2,8, True, 16-bit, False, True, True,400,18.52,173,4.92
SciPhi-Self-RAG-Mistral-7B-32k-exl2-4_0, https://huggingface.co/bartowski/SciPhi-Self-RAG-Mistral-7B-32k-exl2,1, True, 16-bit, False, False, True,400,6.47,62,4.92
SciPhi-Self-RAG-Mistral-7B-32k-exl2-4_0, https://huggingface.co/bartowski/SciPhi-Self-RAG-Mistral-7B-32k-exl2,2, True, 16-bit, False, True, True,400,7.53,106,4.92
SciPhi-Self-RAG-Mistral-7B-32k-exl2-4_0, https://huggingface.co/bartowski/SciPhi-Self-RAG-Mistral-7B-32k-exl2,4, True, 16-bit, False, True, True,400,9.69,165,4.92
SciPhi-Self-RAG-Mistral-7B-32k-exl2-4_0, https://huggingface.co/bartowski/SciPhi-Self-RAG-Mistral-7B-32k-exl2,8, True, 16-bit, False, True, True,400,18.56,172,4.93
OpenOrca-Zephyr-7B-exl2-4_0, https://huggingface.co/bartowski/OpenOrca-Zephyr-7B-exl2,1, True, 16-bit, False, False, True,400,6.49,62,4.93
OpenOrca-Zephyr-7B-exl2-4_0, https://huggingface.co/bartowski/OpenOrca-Zephyr-7B-exl2,2, True, 16-bit, False, True, True,400,7.65,105,4.93
OpenOrca-Zephyr-7B-exl2-4_0, https://huggingface.co/bartowski/OpenOrca-Zephyr-7B-exl2,4, True, 16-bit, False, True, True,400,10.17,157,4.93
OpenOrca-Zephyr-7B-exl2-4_0, https://huggingface.co/bartowski/OpenOrca-Zephyr-7B-exl2,8, True, 16-bit, False, True, True,400,18.77,170,4.93
OpenHermes-2.5-neural-chat-v3-3-Slerp-exl2-4_0, https://huggingface.co/bartowski/OpenHermes-2.5-neural-chat-v3-3-Slerp-exl2,1, True, 16-bit, False, False, True,400,6.54,61,4.93
OpenHermes-2.5-neural-chat-v3-3-Slerp-exl2-4_0, https://huggingface.co/bartowski/OpenHermes-2.5-neural-chat-v3-3-Slerp-exl2,2, True, 16-bit, False, True, True,400,7.9,101,4.93
OpenHermes-2.5-neural-chat-v3-3-Slerp-exl2-4_0, https://huggingface.co/bartowski/OpenHermes-2.5-neural-chat-v3-3-Slerp-exl2,4, True, 16-bit, False, True, True,400,9.98,160,4.93
OpenHermes-2.5-neural-chat-v3-3-Slerp-exl2-4_0, https://huggingface.co/bartowski/OpenHermes-2.5-neural-chat-v3-3-Slerp-exl2,8, True, 16-bit, False, True, True,400,19.24,166,4.93
NeuralHermes-2.5-Mistral-7B-3.0bpw-h6-exl2, https://huggingface.co/LoneStriker/NeuralHermes-2.5-Mistral-7B-3.0bpw-h6-exl2,1, True, 16-bit, False, False, True,400,5.35,75,4.93
NeuralHermes-2.5-Mistral-7B-3.0bpw-h6-exl2, https://huggingface.co/LoneStriker/NeuralHermes-2.5-Mistral-7B-3.0bpw-h6-exl2,2, True, 16-bit, False, True, True,400,6.18,130,4.93
NeuralHermes-2.5-Mistral-7B-3.0bpw-h6-exl2, https://huggingface.co/LoneStriker/NeuralHermes-2.5-Mistral-7B-3.0bpw-h6-exl2,4, True, 16-bit, False, True, True,400,8.36,191,4.93
NeuralHermes-2.5-Mistral-7B-3.0bpw-h6-exl2, https://huggingface.co/LoneStriker/NeuralHermes-2.5-Mistral-7B-3.0bpw-h6-exl2,8, True, 16-bit, False, True, True,400,16.76,191,4.93
OpenHermes-2.5-Mistral-7B-exl2-4.0, https://huggingface.co/bartowski/OpenHermes-2.5-Mistral-7B-exl2,1, True, 16-bit, False, False, True,400,6.63,60,4.93
OpenHermes-2.5-Mistral-7B-exl2-4.0, https://huggingface.co/bartowski/OpenHermes-2.5-Mistral-7B-exl2,2, True, 16-bit, False, True, True,400,7.6,105,4.93
OpenHermes-2.5-Mistral-7B-exl2-4.0, https://huggingface.co/bartowski/OpenHermes-2.5-Mistral-7B-exl2,4, True, 16-bit, False, True, True,400,9.7,165,4.93
OpenHermes-2.5-Mistral-7B-exl2-4.0, https://huggingface.co/bartowski/OpenHermes-2.5-Mistral-7B-exl2,8, True, 16-bit, False, True, True,400,18.73,171,4.93
Metis-0.3-4.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/Metis-0.3-4.0bpw-h6-exl2-2,1, True, 16-bit, False, False, True,400,6.54,61,4.93
Metis-0.3-4.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/Metis-0.3-4.0bpw-h6-exl2-2,2, True, 16-bit, False, True, True,400,7.81,102,4.93
Metis-0.3-4.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/Metis-0.3-4.0bpw-h6-exl2-2,4, True, 16-bit, False, True, True,400,10.71,149,4.93
Metis-0.3-4.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/Metis-0.3-4.0bpw-h6-exl2-2,8, True, 16-bit, False, True, True,400,19.96,160,4.93
go-bruins-v2.1.1-3.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/go-bruins-v2.1.1-3.0bpw-h6-exl2-2,1, True, 16-bit, False, False, True,400,5.4,74,4.93
go-bruins-v2.1.1-3.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/go-bruins-v2.1.1-3.0bpw-h6-exl2-2,2, True, 16-bit, False, True, True,400,6.62,121,4.93
go-bruins-v2.1.1-3.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/go-bruins-v2.1.1-3.0bpw-h6-exl2-2,4, True, 16-bit, False, True, True,400,8.88,180,4.93
go-bruins-v2.1.1-3.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/go-bruins-v2.1.1-3.0bpw-h6-exl2-2,8, True, 16-bit, False, True, True,400,17.47,183,4.93
TinyLlama-1.1B-intermediate-step-1195k-token-2.5T-exl2-8bpw, https://huggingface.co/zakoman/TinyLlama-1.1B-intermediate-step-1195k-token-2.5T-exl2,1, True, 16-bit, False, False, True,400,2.19,182,4.93
TinyLlama-1.1B-intermediate-step-1195k-token-2.5T-exl2-8bpw, https://huggingface.co/zakoman/TinyLlama-1.1B-intermediate-step-1195k-token-2.5T-exl2,2, True, 16-bit, False, True, True,400,2.61,306,4.93
TinyLlama-1.1B-intermediate-step-1195k-token-2.5T-exl2-8bpw, https://huggingface.co/zakoman/TinyLlama-1.1B-intermediate-step-1195k-token-2.5T-exl2,4, True, 16-bit, False, True, True,400,3.26,490,4.93
TinyLlama-1.1B-intermediate-step-1195k-token-2.5T-exl2-8bpw, https://huggingface.co/zakoman/TinyLlama-1.1B-intermediate-step-1195k-token-2.5T-exl2,8, True, 16-bit, False, True, True,400,5.24,611,4.93
